CustomerID,Recency,Frequency,Monetary,LastPurchase,R,F,M,RFM_Score,Segment,AOV,Country
12346,325,1,77183.6,2011-01-18 10:01:00,1,1,5,115,Hibernating,77183.6,United Kingdom
12347,2,7,4310.0,2011-12-07 15:52:00,5,5,5,555,Champions,615.7142857142857,Iceland
12348,75,4,1797.24,2011-09-25 13:13:00,2,4,4,244,At Risk but Loyal,449.31,Finland
12349,18,1,1757.55,2011-11-21 09:51:00,4,1,4,414,New Customers,1757.55,Italy
12350,310,1,334.4,2011-02-02 16:01:00,1,1,2,112,Hibernating,334.4,Norway
12352,36,8,2506.04,2011-11-03 14:37:00,3,5,5,355,Loyal,313.255,Norway
12353,204,1,89.0,2011-05-19 17:47:00,1,1,1,111,Hibernating,89.0,Bahrain
12354,232,1,1079.4,2011-04-21 13:11:00,1,1,4,114,Hibernating,1079.4,Spain
12355,214,1,459.4,2011-05-09 13:49:00,1,1,2,112,Hibernating,459.4,Bahrain
12356,22,3,2811.43,2011-11-17 08:40:00,4,3,5,435,Potential Loyalist,937.1433333333333,Portugal
12357,33,1,6207.67,2011-11-06 16:07:00,3,1,5,315,Potential Loyalist,6207.67,Switzerland
12358,1,2,1168.06,2011-12-08 10:26:00,5,2,4,524,New Customers,584.03,Austria
12359,57,4,6310.03,2011-10-13 12:47:00,3,4,5,345,Loyal,1577.5075,Cyprus
12360,52,3,2662.06,2011-10-18 15:22:00,3,3,5,335,Potential Loyalist,887.3533333333334,Austria
12361,287,1,189.9,2011-02-25 13:51:00,1,1,1,111,Hibernating,189.9,Belgium
12362,3,10,5226.23,2011-12-06 15:40:00,5,5,5,555,Champions,522.6229999999999,Belgium
12363,109,2,552.0,2011-08-22 10:18:00,2,2,3,223,Hibernating,276.0,Unspecified
12364,7,4,1313.1,2011-12-02 10:22:00,5,4,4,544,Champions,328.275,Belgium
12365,291,2,641.38,2011-02-21 14:04:00,1,2,3,123,Hibernating,320.69,Cyprus
12367,4,1,168.9,2011-12-05 16:48:00,5,1,1,511,New Customers,168.9,Denmark
12370,51,4,3541.94,2011-10-19 14:51:00,3,4,5,345,Loyal,885.485,Cyprus
12371,44,2,1887.96,2011-10-26 10:16:00,3,2,4,324,Potential Loyalist,943.98,Switzerland
12372,71,3,1298.04,2011-09-29 12:12:00,3,3,4,334,Potential Loyalist,432.68,Denmark
12373,311,1,364.6,2011-02-01 13:10:00,1,1,2,112,Hibernating,364.6,Austria
12374,25,1,742.9300000000001,2011-11-14 15:37:00,4,1,3,413,New Customers,742.9300000000001,Austria
12375,10,2,457.5,2011-11-29 10:36:00,5,2,2,522,New Customers,228.75,Finland
12377,315,2,1628.12,2011-01-28 15:45:00,1,2,4,124,Hibernating,814.06,Switzerland
12378,129,1,4008.62,2011-08-02 10:34:00,2,1,5,215,Hibernating,4008.62,Switzerland
